Format Version,1.23,Take Name,Take 2021-07-09 18.50.59 AM_013,Take Notes,,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2021-07-11 02.35.29.076 下午,Total Frames in Take,1101,Total Exported Frames,1101,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Local
,,,,,,,,,,,,,,,,,,,,,
,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,,,,,,,,,,,,
,Name,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,,,,,,,,,,,,
,ID,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,,,,,,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,,,,,,,,,,,,
99,0.825,0.009571,-0.394255,0.007659,-0.918919,1.745797,0.529237,-6.61689,0.000902,,,,,,,,,,,,
100,0.833333,0.009484,-0.394255,0.007658,-0.918921,1.744191,0.529091,-6.615298,0.000747,,,,,,,,,,,,
101,0.841667,0.00978,-0.39449,0.00802,-0.918813,1.743473,0.529502,-6.613373,0.000921,,,,,,,,,,,,
102,0.85,0.009554,-0.394117,0.007457,-0.918981,1.741573,0.529151,-6.611848,0.00072,,,,,,,,,,,,
103,0.858333,0.009873,-0.393979,0.007224,-0.919038,1.74062,0.529383,-6.610009,0.000874,,,,,,,,,,,,
104,0.866667,0.00982,-0.393938,0.007139,-0.919057,1.739283,0.529433,-6.608256,0.00088,,,,,,,,,,,,
105,0.875,0.009951,-0.393857,0.006994,-0.919092,1.738028,0.529495,-6.606486,0.000884,,,,,,,,,,,,
106,0.883333,0.009182,-0.393803,0.007171,-0.919121,1.736926,0.529829,-6.604567,0.000749,,,,,,,,,,,,
107,0.891667,0.009251,-0.393731,0.006932,-0.919153,1.735604,0.529889,-6.602768,0.000755,,,,,,,,,,,,
108,0.9,0.009645,-0.394047,0.007288,-0.919011,1.734506,0.52994,-6.600903,0.000738,,,,,,,,,,,,
109,0.908333,0.009904,-0.393581,0.006469,-0.919214,1.732675,0.529719,-6.599346,0.000897,,,,,,,,,,,,
110,0.916667,0.009516,-0.393561,0.006502,-0.919226,1.731559,0.529864,-6.597411,0.000719,,,,,,,,,,,,
111,0.925,0.00965,-0.393867,0.006919,-0.919091,1.73049,0.530106,-6.595551,0.000789,,,,,,,,,,,,
112,0.933333,0.0094,-0.393417,0.006153,-0.919291,1.728883,0.529954,-6.593801,0.000762,,,,,,,,,,,,
113,0.941667,0.009571,-0.393712,0.006646,-0.91916,1.727832,0.530165,-6.591887,0.000757,,,,,,,,,,,,
114,0.95,0.009119,-0.393262,0.005954,-0.919362,1.72598,0.529898,-6.59024,0.000631,,,,,,,,,,,,
115,0.958333,0.009501,-0.393607,0.006339,-0.919208,1.725169,0.530268,-6.588206,0.000782,,,,,,,,,,,,
116,0.966667,0.00924,-0.393164,0.005653,-0.919405,1.723527,0.530127,-6.586409,0.000764,,,,,,,,,,,,
117,0.975,0.009255,-0.393076,0.005496,-0.919443,1.722166,0.530165,-6.584538,0.000752,,,,,,,,,,,,
118,0.983333,0.009057,-0.392995,0.005419,-0.91948,1.720826,0.53023,-6.582672,0.00079,,,,,,,,,,,,
119,0.991667,0.008981,-0.392925,0.005195,-0.919512,1.719477,0.530254,-6.580809,0.000782,,,,,,,,,,,,
120,1,0.00883,-0.392852,0.005164,-0.919545,1.717991,0.530254,-6.578906,0.000807,,,,,,,,,,,,
121,1.008333,0.0087,-0.392783,0.004987,-0.919576,1.716713,0.530267,-6.577011,0.00079,,,,,,,,,,,,
122,1.016667,0.008689,-0.392603,0.004815,-0.919654,1.715406,0.530187,-6.575232,0.000769,,,,,,,,,,,,
123,1.025,0.008503,-0.39268,0.004796,-0.919623,1.713974,0.53029,-6.573139,0.000786,,,,,,,,,,,,
124,1.033333,0.008393,-0.39247,0.004594,-0.919715,1.71275,0.530268,-6.571337,0.000764,,,,,,,,,,,,
125,1.041667,0.008262,-0.392598,0.004655,-0.919661,1.711313,0.530379,-6.569258,0.000765,,,,,,,,,,,,
126,1.05,0.00806,-0.392302,0.00441,-0.919791,1.710049,0.53035,-6.567414,0.000742,,,,,,,,,,,,
127,1.058333,0.008015,-0.392799,0.005085,-0.919576,1.708777,0.530507,-6.565286,0.000842,,,,,,,,,,,,
128,1.066667,0.007726,-0.392197,0.004302,-0.919839,1.707297,0.530408,-6.563459,0.000774,,,,,,,,,,,,
129,1.075,0.007476,-0.39228,0.004422,-0.919805,1.705742,0.530411,-6.561368,0.000824,,,,,,,,,,,,
130,1.083333,0.007316,-0.392013,0.004149,-0.919921,1.70454,0.530409,-6.55947,0.000819,,,,,,,,,,,,
131,1.091667,0.00706,-0.392074,0.004273,-0.919896,1.702978,0.530471,-6.55735,0.000888,,,,,,,,,,,,
132,1.1,0.007003,-0.391876,0.004082,-0.919983,1.701817,0.530396,-6.555444,0.000804,,,,,,,,,,,,
133,1.108333,0.006723,-0.392525,0.00523,-0.919702,1.700816,0.530958,-6.553048,0.001089,,,,,,,,,,,,
134,1.116667,0.006685,-0.392267,0.004853,-0.919814,1.699346,0.530629,-6.551207,0.000675,,,,,,,,,,,,
135,1.125,0.006355,-0.392422,0.005242,-0.919749,1.698116,0.530945,-6.548972,0.001015,,,,,,,,,,,,
136,1.133333,0.006109,-0.392059,0.00479,-0.919907,1.696601,0.53067,-6.547092,0.000674,,,,,,,,,,,,
137,1.141667,0.00592,-0.392003,0.00475,-0.919932,1.694968,0.53063,-6.545008,0.000877,,,,,,,,,,,,
138,1.15,0.005598,-0.391392,0.004051,-0.920198,1.693485,0.53042,-6.543105,0.000804,,,,,,,,,,,,
139,1.158333,0.005493,-0.39201,0.005338,-0.919929,1.692412,0.530951,-6.540693,0.001115,,,,,,,,,,,,
140,1.166667,0.005202,-0.391824,0.004863,-0.920013,1.691039,0.530712,-6.538782,0.000685,,,,,,,,,,,,
141,1.175,0.004869,-0.391313,0.004334,-0.920235,1.689101,0.530426,-6.536727,0.000924,,,,,,,,,,,,
142,1.183333,0.00465,-0.391054,0.004124,-0.920347,1.687948,0.530405,-6.534747,0.000855,,,,,,,,,,,,
143,1.191667,0.004448,-0.390982,0.004246,-0.920378,1.686559,0.530424,-6.532635,0.000813,,,,,,,,,,,,
144,1.2,0.004203,-0.391131,0.004504,-0.920314,1.685007,0.530459,-6.530435,0.000886,,,,,,,,,,,,
145,1.208333,0.004152,-0.391428,0.005215,-0.920185,1.684058,0.530683,-6.52825,0.000696,,,,,,,,,,,,
146,1.216667,0.003926,-0.390824,0.00452,-0.920446,1.682402,0.530442,-6.526291,0.000773,,,,,,,,,,,,
147,1.225,0.003399,-0.390613,0.004675,-0.920537,1.680698,0.530317,-6.524313,0.000595,,,,,,,,,,,,
148,1.233333,0.003505,-0.390633,0.004629,-0.920528,1.679575,0.530468,-6.522048,0.000779,,,,,,,,,,,,
149,1.241667,0.00313,-0.390712,0.00494,-0.920494,1.677955,0.530482,-6.519859,0.000916,,,,,,,,,,,,
150,1.25,0.003038,-0.390417,0.004768,-0.920621,1.676741,0.530501,-6.51781,0.000806,,,,,,,,,,,,
151,1.258333,0.00278,-0.390517,0.005153,-0.920577,1.675107,0.530476,-6.515611,0.000935,,,,,,,,,,,,
152,1.266667,0.002785,-0.390293,0.005004,-0.920673,1.673931,0.53052,-6.513565,0.000825,,,,,,,,,,,,
153,1.275,0.002612,-0.390994,0.00638,-0.920368,1.672848,0.530968,-6.51111,0.001104,,,,,,,,,,,,
154,1.283333,0.002561,-0.390743,0.006086,-0.920476,1.671367,0.530785,-6.509164,0.000738,,,,,,,,,,,,
155,1.291667,0.002199,-0.390252,0.005559,-0.920689,1.669456,0.530531,-6.507112,0.000899,,,,,,,,,,,,
156,1.3,0.002216,-0.390588,0.006275,-0.920541,1.668336,0.53075,-6.504909,0.0009,,,,,,,,,,,,
157,1.308333,0.001904,-0.390013,0.005721,-0.92079,1.66656,0.530597,-6.50285,0.00097,,,,,,,,,,,,
158,1.316667,0.001807,-0.390021,0.00588,-0.920785,1.66513,0.530609,-6.500721,0.000949,,,,,,,,,,,,
159,1.325,0.001766,-0.389909,0.005956,-0.920833,1.663663,0.530675,-6.498581,0.000985,,,,,,,,,,,,
160,1.333333,0.001728,-0.389859,0.006202,-0.920852,1.662203,0.530644,-6.496467,0.00093,,,,,,,,,,,,
161,1.341667,0.001778,-0.390219,0.006804,-0.920695,1.661101,0.530902,-6.494279,0.000932,,,,,,,,,,,,
162,1.35,0.001806,-0.390169,0.00707,-0.920714,1.659633,0.530861,-6.492143,0.000908,,,,,,,,,,,,
163,1.358333,0.001552,-0.389717,0.006471,-0.920911,1.65785,0.530767,-6.490105,0.000954,,,,,,,,,,,,
164,1.366667,0.00175,-0.390079,0.007225,-0.920751,1.656722,0.530996,-6.487899,0.000893,,,,,,,,,,,,
165,1.375,0.001566,-0.3896,0.006747,-0.920958,1.654928,0.530849,-6.485868,0.000944,,,,,,,,,,,,
166,1.383333,0.001585,-0.389557,0.006828,-0.920976,1.653441,0.530898,-6.483733,0.000926,,,,,,,,,,,,
167,1.391667,0.001617,-0.389532,0.007032,-0.920985,1.651972,0.530944,-6.481604,0.000908,,,,,,,,,,,,
168,1.4,0.001351,-0.389411,0.007106,-0.921036,1.650228,0.530851,-6.479601,0.000712,,,,,,,,,,,,
169,1.408333,0.00153,-0.389374,0.007175,-0.921051,1.648953,0.531017,-6.477379,0.000938,,,,,,,,,,,,
170,1.416667,0.001609,-0.389237,0.007177,-0.921108,1.647471,0.53108,-6.475278,0.000991,,,,,,,,,,,,
171,1.425,0.001586,-0.38919,0.007327,-0.921127,1.645973,0.531131,-6.473141,0.000965,,,,,,,,,,,,
172,1.433333,0.001767,-0.389176,0.007409,-0.921132,1.644487,0.531162,-6.471026,0.000958,,,,,,,,,,,,
173,1.441667,0.001828,-0.389092,0.007464,-0.921167,1.642977,0.531224,-6.468922,0.000955,,,,,,,,,,,,
174,1.45,0.001911,-0.389078,0.007592,-0.921172,1.641448,0.531236,-6.466807,0.000931,,,,,,,,,,,,
175,1.458333,0.001978,-0.38898,0.007578,-0.921213,1.639948,0.531337,-6.464687,0.000991,,,,,,,,,,,,
176,1.466667,0.002166,-0.38896,0.007735,-0.92122,1.638391,0.531366,-6.462581,0.000946,,,,,,,,,,,,
177,1.475,0.002405,-0.389358,0.00838,-0.921045,1.637236,0.53163,-6.460358,0.000933,,,,,,,,,,,,
178,1.483333,0.002354,-0.388895,0.007851,-0.921246,1.63535,0.53148,-6.45832,0.000978,,,,,,,,,,,,
