Format Version,1.23,Take Name,Take 2021-07-09 18.50.59 AM_025,Take Notes,,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2021-07-11 02.58.35.475 下午,Total Frames in Take,6042,Total Exported Frames,6042,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Local
,,,,,,,,,,,,,,,,,,,,,
,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,,,,,,,,,,,,
,Name,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,,,,,,,,,,,,
,ID,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,,,,,,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,,,,,,,,,,,,
168,1.4,0.001618,-0.358272,0.00169,-0.933614,-1.19663,0.524944,-5.556044,0.000771,,,,,,,,,,,,
169,1.408333,0.001585,-0.355341,0.001667,-0.934734,-1.196591,0.524969,-5.556039,0.000782,,,,,,,,,,,,
170,1.416667,0.001607,-0.352387,0.001612,-0.935851,-1.196509,0.524982,-5.556052,0.000788,,,,,,,,,,,,
171,1.425,0.001567,-0.349427,0.00161,-0.936961,-1.196396,0.525005,-5.55603,0.000752,,,,,,,,,,,,
172,1.433333,0.001609,-0.346402,0.001604,-0.938083,-1.19629,0.525011,-5.556024,0.000781,,,,,,,,,,,,
173,1.441667,0.001661,-0.343457,0.001661,-0.939165,-1.196189,0.524993,-5.556007,0.000757,,,,,,,,,,,,
174,1.45,0.00165,-0.340361,0.00162,-0.940292,-1.196111,0.525014,-5.556009,0.000774,,,,,,,,,,,,
175,1.458333,0.001636,-0.337403,0.001633,-0.941357,-1.196017,0.525047,-5.555993,0.00079,,,,,,,,,,,,
176,1.466667,0.001689,-0.334393,0.00164,-0.942431,-1.195976,0.525034,-5.556019,0.00075,,,,,,,,,,,,
177,1.475,0.001744,-0.331342,0.001596,-0.943508,-1.195896,0.525033,-5.555972,0.000806,,,,,,,,,,,,
