,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV:Marker1,OASES_USV:Marker1,OASES_USV:Marker1,OASES_USV:Marker2,OASES_USV:Marker2,OASES_USV:Marker2,OASES_USV:Marker3,OASES_USV:Marker3,OASES_USV:Marker3,OASES_USV:Marker4,OASES_USV:Marker4,OASES_USV:Marker4,OASES_USV:Marker5,OASES_USV:Marker5,OASES_USV:Marker5,OASES_USV:Marker6,OASES_USV:Marker6,OASES_USV:Marker6,OASES_USV:Marker7,OASES_USV:Marker7,OASES_USV:Marker7,OASES_USV:Marker8,OASES_USV:Marker8,OASES_USV:Marker8,OASES_USV:Marker9,OASES_USV:Marker9,OASES_USV:Marker9
,ID,2318D923CC3111EB1371DA7D1A00BA88,2318D923CC3111EB1371DA7D1A00BA88,2318D923CC3111EB1371DA7D1A00BA88,2318D923CC3111EB1371DA7D1A00BA88,2318D923CC3111EB1371DA7D1A00BA88,2318D923CC3111EB1371DA7D1A00BA88,2318D923CC3111EB1371DA7D1A00BA88,2318D923CC3111EB1371DA7D1A00BA88,16C94F0,16C94F0,16C94F0,4574208FCC3911EB1371DA7D1A00BA88,4574208FCC3911EB1371DA7D1A00BA88,4574208FCC3911EB1371DA7D1A00BA88,457420BCCC3911EB1371DA7D1A00BA88,457420BCCC3911EB1371DA7D1A00BA88,457420BCCC3911EB1371DA7D1A00BA88,16D5950,16D5950,16D5950,17027F0,17027F0,17027F0,16D5260,16D5260,16D5260,17023F0,17023F0,17023F0,16D6BE0,16D6BE0,16D6BE0,45742154CC3911EB1371DA7D1A00BA88,45742154CC3911EB1371DA7D1A00BA88,45742154CC3911EB1371DA7D1A00BA88
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
30,0.25,-0.009376,-0.696992,0.015337,-0.716854,-0.587309,0.533166,-5.662994,0.001667,-0.585289,0.612467,-5.375112,,,,,,,-0.869109,0.614339,-5.669381,-0.619609,0.449771,-5.659941,-0.298934,0.614051,-5.658346,-0.579926,0.614997,-5.948444,-0.302879,0.471445,-5.938072,,,
31,0.258333,-0.009448,-0.696819,0.015206,-0.717024,-0.586393,0.533291,-5.663005,0.001643,-0.58455,0.612476,-5.37506,,,,,,,-0.868293,0.614431,-5.669482,-0.618657,0.449938,-5.659963,-0.297976,0.614185,-5.65822,-0.578809,0.615195,-5.948433,-0.30192,0.471756,-5.938133,,,
32,0.266667,-0.009578,-0.696604,0.015122,-0.717232,-0.585438,0.533415,-5.663013,0.001638,-0.583752,0.612474,-5.375037,,,,,,,-0.86738,0.614539,-5.669644,-0.617765,0.450092,-5.660007,-0.296952,0.614388,-5.658052,-0.577607,0.615425,-5.948373,-0.300926,0.471889,-5.938049,,,
33,0.275,-0.00963,-0.696438,0.014524,-0.717405,-0.584529,0.533272,-5.663057,0.001687,-0.583082,0.611966,-5.375159,,,,,,,-0.866612,0.614175,-5.669841,-0.616896,0.450172,-5.660042,-0.296075,0.614484,-5.657906,-0.576684,0.615582,-5.948277,-0.299662,0.471922,-5.937708,,,
34,0.283333,-0.009195,-0.696569,0.01486,-0.717277,-0.583538,0.53369,-5.662999,0.001558,-0.581583,0.613256,-5.374991,,,,,,,-0.865632,0.614238,-5.66999,-0.616063,0.450336,-5.660109,-0.295295,0.614571,-5.657718,-0.575727,0.615861,-5.948235,-0.298868,0.472281,-5.937841,,,
35,0.291667,-0.009174,-0.696339,0.014773,-0.717502,-0.58255,0.533807,-5.662925,0.001585,-0.580779,0.613343,-5.374968,,,,,,,-0.864699,0.614308,-5.670057,-0.615119,0.450525,-5.660126,-0.294401,0.614738,-5.657469,-0.574616,0.616127,-5.948175,-0.297449,0.472242,-5.937386,,,
36,0.3,-0.009279,-0.696133,0.014666,-0.717703,-0.581651,0.533928,-5.662927,0.001562,-0.580079,0.613382,-5.374943,,,,,,,-0.863749,0.614394,-5.67016,-0.614156,0.450614,-5.660117,-0.293444,0.614841,-5.657228,-0.573502,0.616282,-5.948127,-0.296612,0.472586,-5.937466,,,
37,0.308333,-0.009355,-0.695902,0.014561,-0.717929,-0.58075,0.533974,-5.662865,0.001566,-0.579336,0.613382,-5.374883,,,,,,,-0.862833,0.614454,-5.67024,-0.613218,0.450696,-5.660164,-0.292711,0.614831,-5.656949,-0.572488,0.616431,-5.948066,-0.295256,0.47266,-5.937099,,,
38,0.316667,-0.009478,-0.695825,0.014484,-0.718003,-0.579832,0.534037,-5.662844,0.001528,-0.578424,0.613398,-5.374856,,,,,,,-0.861919,0.614534,-5.67032,-0.612201,0.450717,-5.660215,-0.291805,0.614841,-5.656769,-0.571521,0.61657,-5.948017,-0.294291,0.472807,-5.936953,,,
39,0.325,-0.009626,-0.695653,0.014259,-0.718172,-0.578791,0.534108,-5.662853,0.001539,-0.577588,0.613293,-5.374816,,,,,,,-0.86094,0.614604,-5.67041,-0.611279,0.450756,-5.660261,-0.290613,0.614991,-5.656621,-0.570333,0.61674,-5.947973,-0.293201,0.473083,-5.936918,,,
40,0.333333,-0.010087,-0.695231,0.013877,-0.718581,-0.577958,0.533957,-5.662873,0.001603,-0.577321,0.612465,-5.374747,,,,,,,-0.859985,0.614664,-5.670472,-0.610228,0.450746,-5.660217,-0.289749,0.615018,-5.656417,-0.569114,0.61677,-5.947978,-0.2922,0.473305,-5.936886,,,
